event_id,user_id,session_id,timestamp,key_index,hold_time_ms,flight_time_ms,typing_speed_wpm,key_pressure,is_backspace,is_pause,digraph_time_ms,trigraph_time_ms,label
52,1,S001G000,2026-02-03T22:50:11.067000,51,88.92,128.78,45.2,0.4611,0,0,152.18,248.35,genuine
53,1,S001G000,2026-02-03T22:50:09.828000,52,91.39,98.3,44.7,0.3864,0,0,165.29,244.71,genuine
54,1,S001G000,2026-02-03T22:50:11.289000,53,85.22,128.2,48.4,0.4624,1,0,144.4,336.08,genuine
55,1,S001G000,2026-02-03T22:50:08.964000,54,78.39,88.6,54.0,0.4777,0,0,128.97,332.08,genuine
56,1,S001G000,2026-02-03T22:50:13.585000,55,91.73,155.75,55.3,0.4866,0,0,152.51,250.69,genuine
57,1,S001G000,2026-02-03T22:50:09.576000,56,103.71,68.24,56.6,0.5085,0,0,134.12,242.89,genuine
58,1,S001G000,2026-02-03T22:50:10.773000,57,94.11,94.94,48.9,0.5117,0,0,150.56,262.12,genuine
59,1,S001G000,2026-02-03T22:50:12.180000,58,97.73,112.48,40.2,0.4769,0,0,158.58,304.48,genuine
60,1,S001G000,2026-02-03T22:50:13.629000,59,99.32,132.37,43.4,0.4457,1,0,148.88,324.74,genuine
61,1,S001G000,2026-02-03T22:50:13.260000,60,100.45,121.3,69.4,0.4608,0,0,160.15,280.57,genuine
62,1,S001G000,2026-02-03T22:50:13.359000,61,93.25,126.36,58.2,0.4671,1,0,126.13,235.09,genuine
63,1,S001G000,2026-02-03T22:50:12.896000,62,104.11,104.3,54.6,0.4213,0,0,136.18,258.54,genuine
64,1,S001G000,2026-02-03T22:50:10.080000,63,70.41,89.86,40.6,0.4626,1,0,138.79,213.61,genuine
65,1,S001G000,2026-02-03T22:50:12.928000,64,89.9,112.62,36.0,0.4804,0,0,167.93,298.9,genuine
66,1,S001G000,2026-02-03T22:50:13.195000,65,82.55,120.71,52.9,0.5331,0,0,136.84,272.3,genuine
67,1,S001G000,2026-02-03T22:50:14.058000,66,89.55,123.54,61.2,0.5024,0,0,129.56,296.24,genuine
68,1,S001G000,2026-02-03T22:50:14.338000,67,97.42,116.83,57.7,0.4699,0,0,157.4,265.26,genuine
69,1,S001G000,2026-02-03T22:50:13.532000,68,101.74,98.05,56.8,0.5372,0,0,150.88,270.02,genuine
70,1,S001G000,2026-02-03T22:50:14.973000,69,91.4,125.66,71.6,0.4417,0,1,132.44,227.34,genuine
71,1,S001G000,2026-02-03T22:50:13.090000,70,89.38,97.62,53.9,0.5302,0,0,193.65,314.11,genuine
72,1,S001G000,2026-02-03T22:50:13.703000,71,87.72,105.29,49.9,0.5148,0,0,134.49,270.26,genuine
73,1,S001G000,2026-02-03T22:50:14.616000,72,85.29,117.9,64.7,0.4993,0,0,188.14,288.47,genuine
74,1,S001G000,2026-02-03T22:50:14.527000,73,99.17,99.95,46.0,0.4812,1,0,170.73,232.85,genuine
75,1,S001G000,2026-02-03T22:50:11.692000,74,78.51,80.03,56.6,0.4065,0,0,123.65,315.16,genuine
76,1,S001G000,2026-02-03T22:50:14.100000,75,116.45,72.54,62.1,0.4744,0,0,147.57,297.43,genuine
77,1,S001G000,2026-02-03T22:50:15.732000,76,102.75,104.38,51.9,0.5741,0,0,167.11,263.13,genuine
78,1,S001G000,2026-02-03T22:50:16.478000,77,103.24,110.82,63.6,0.5619,0,0,168.08,268.15,genuine
79,1,S001G000,2026-02-03T22:50:14.820000,78,115.24,75.31,60.4,0.5616,0,0,150.42,273.91,genuine
80,1,S001G000,2026-02-03T22:50:17.775000,79,83.12,141.96,48.3,0.3278,0,0,132.08,269.37,genuine
81,1,S001G001,2026-03-21T09:15:00,0,72.72,80.79,52.8,0.5676,0,0,129.88,221.18,genuine
82,1,S001G001,2026-03-21T09:15:00.199000,1,73.82,125.79,51.5,0.4851,0,0,149.04,278.45,genuine
83,1,S001G001,2026-03-21T09:15:00.370000,2,76.06,109.64,47.6,0.4798,0,0,146.13,251.33,genuine
84,1,S001G001,2026-03-21T09:15:00.618000,3,98.13,108.86,54.8,0.4267,0,1,171.45,205.76,genuine
85,1,S001G001,2026-03-21T09:15:00.768000,4,88.85,103.97,56.1,0.4199,0,0,143.48,276.96,genuine
86,1,S001G001,2026-03-21T09:15:01,5,96.88,103.48,60.1,0.4198,0,0,101.04,223.92,genuine
87,1,S001G001,2026-03-21T09:15:01.506000,6,82.3,169.37,46.9,0.4447,0,0,156.76,257.03,genuine
88,1,S001G001,2026-03-21T09:15:01.260000,7,80.46,99.86,48.8,0.51,0,0,139.91,300.71,genuine
89,1,S001G001,2026-03-21T09:15:01.368000,8,78.29,93.48,39.7,0.4547,0,0,180.66,241.87,genuine
90,1,S001G001,2026-03-21T09:15:01.998000,9,87.17,135.5,45.9,0.3867,0,0,156.77,247.9,genuine
91,1,S001G001,2026-03-21T09:15:02.360000,10,102.77,133.73,51.1,0.5414,0,0,155.33,322.47,genuine
92,1,S001G001,2026-03-21T09:15:02.068000,11,69.29,119.06,44.7,0.4692,0,0,190.0,327.02,genuine
93,1,S001G001,2026-03-21T09:15:02.328000,12,105.1,89.38,50.0,0.6226,0,0,157.82,261.68,genuine
94,1,S001G001,2026-03-21T09:15:02.444000,13,78.52,109.65,40.9,0.4294,0,0,165.88,261.28,genuine
95,1,S001G001,2026-03-21T09:15:02.954000,14,92.41,119.42,45.2,0.5266,0,0,191.34,288.17,genuine
96,1,S001G001,2026-03-21T09:15:03.090000,15,101.17,105.4,55.9,0.4433,0,0,147.93,267.17,genuine
97,1,S001G001,2026-03-21T09:15:03.264000,16,97.32,107.58,57.0,0.3865,0,0,128.2,290.58,genuine
98,1,S001G001,2026-03-21T09:15:03.927000,17,99.53,132.4,59.3,0.5256,0,0,175.81,272.43,genuine
99,1,S001G001,2026-03-21T09:15:03.510000,18,62.98,132.39,49.8,0.4868,0,0,175.64,262.62,genuine
100,1,S001G001,2026-03-21T09:15:03.952000,19,85.52,122.79,65.5,0.5523,0,0,140.0,235.1,genuine
101,1,S001G001,2026-03-21T09:15:04.660000,20,114.2,119.65,57.9,0.4715,0,0,158.26,246.19,genuine
102,1,S001G001,2026-03-21T09:15:05.292000,21,97.55,155.41,57.7,0.4546,0,1,164.01,253.51,genuine
103,1,S001G001,2026-03-21T09:15:04.928000,22,98.71,126.21,65.2,0.5098,1,1,160.63,245.12,genuine
104,1,S001G001,2026-03-21T09:15:04.922000,23,88.61,126.2,58.0,0.5617,0,0,122.65,274.28,genuine
105,1,S001G001,2026-03-21T09:15:04.800000,24,86.05,113.99,52.5,0.3288,1,0,173.25,239.52,genuine
106,1,S001G001,2026-03-21T09:15:04.725000,25,60.56,128.64,57.0,0.5325,0,0,113.19,270.56,genuine
107,1,S001G001,2026-03-21T09:15:05.590000,26,96.78,118.58,50.9,0.4535,0,0,140.04,258.58,genuine
108,1,S001G001,2026-03-21T09:15:05.967000,27,107.7,113.96,56.7,0.3936,0,0,174.43,231.78,genuine
109,1,S001G001,2026-03-21T09:15:04.928000,28,94.53,82.17,63.0,0.4843,0,0,137.11,275.5,genuine
110,1,S001G001,2026-03-21T09:15:06.670000,29,103.17,127.03,45.4,0.4414,0,0,191.42,289.73,genuine
111,1,S001G001,2026-03-21T09:15:06.480000,30,96.88,119.94,36.2,0.4628,0,0,140.4,256.42,genuine
112,1,S001G001,2026-03-21T09:15:07.068000,31,100.64,128.17,39.8,0.4207,0,0,183.53,258.53,genuine
113,1,S001G001,2026-03-21T09:15:06.976000,32,82.19,136.52,66.2,0.4902,0,0,167.77,242.83,genuine
114,1,S001G001,2026-03-21T09:15:05.973000,33,93.43,88.01,36.4,0.5102,0,0,135.28,238.37,genuine
115,1,S001G001,2026-03-21T09:15:08.262000,34,120.88,122.59,46.7,0.4925,0,0,150.37,292.03,genuine
116,1,S001G001,2026-03-21T09:15:08.190000,35,117.7,116.41,49.3,0.416,0,0,189.47,276.05,genuine
117,1,S001G001,2026-03-21T09:15:08.280000,36,94.99,135.77,60.6,0.4398,0,0,149.29,261.33,genuine
118,1,S001G001,2026-03-21T09:15:08.029000,37,99.14,118.72,43.7,0.4054,0,0,135.45,269.46,genuine
119,1,S001G001,2026-03-21T09:15:09.006000,38,89.03,148.96,59.5,0.5173,0,0,127.41,270.28,genuine
120,1,S001G001,2026-03-21T09:15:08.736000,39,104.32,120.62,52.4,0.4644,0,0,166.97,284.04,genuine
121,1,S001G001,2026-03-21T09:15:08.320000,40,91.37,117.07,47.3,0.4696,0,0,119.11,266.45,genuine
122,1,S001G001,2026-03-21T09:15:08.241000,41,93.81,107.34,51.0,0.4815,1,0,173.93,236.61,genuine
123,1,S001G001,2026-03-21T09:15:07.308000,42,74.27,100.41,55.3,0.4451,1,0,165.76,227.06,genuine
124,1,S001G001,2026-03-21T09:15:07.740000,43,106.15,74.59,62.5,0.5666,0,0,137.12,262.03,genuine
125,1,S001G001,2026-03-21T09:15:09.680000,44,87.85,132.23,57.9,0.4526,0,0,113.57,262.47,genuine
126,1,S001G001,2026-03-21T09:15:09.945000,45,80.17,141.73,37.7,0.5156,0,0,165.8,305.07,genuine
127,1,S001G001,2026-03-21T09:15:08.188000,46,93.31,84.83,67.4,0.515,0,0,158.32,233.86,genuine
128,1,S001G001,2026-03-21T09:15:09.823000,47,106.64,102.64,43.4,0.4161,0,0,161.35,275.71,genuine
129,1,S001G001,2026-03-21T09:15:09.744000,48,82.05,121.02,56.2,0.4672,0,0,150.43,269.6,genuine
130,1,S001G001,2026-03-21T09:15:09.898000,49,94.61,107.65,39.4,0.5462,0,0,132.24,275.4,genuine
131,1,S001G001,2026-03-21T09:15:08.550000,50,99.12,72.54,58.3,0.3687,0,0,145.66,269.16,genuine
132,1,S001G001,2026-03-21T09:15:11.016000,51,97.6,118.46,48.1,0.5137,0,0,164.03,286.55,genuine
133,1,S001G001,2026-03-21T09:15:10.504000,52,79.51,123.25,52.3,0.4362,0,0,141.7,281.33,genuine
134,1,S001G001,2026-03-21T09:15:08.851000,53,73.85,93.86,50.4,0.4573,0,0,150.14,313.56,genuine
135,1,S001G001,2026-03-21T09:15:08.316000,54,76.84,77.52,47.1,0.5073,0,0,126.22,330.19,genuine
136,1,S001G001,2026-03-21T09:15:10.065000,55,88.1,95.35,40.8,0.3559,0,0,166.45,213.46,genuine
137,1,S001G001,2026-03-21T09:15:09.016000,56,80.66,80.91,39.1,0.464,0,0,140.17,279.7,genuine
138,1,S001G001,2026-03-21T09:15:12.027000,57,86.92,124.67,75.0,0.5021,0,0,162.17,275.69,genuine
139,1,S001G001,2026-03-21T09:15:11.716000,58,95.39,106.93,35.7,0.4849,0,1,139.28,310.28,genuine
140,1,S001G001,2026-03-21T09:15:13.511000,59,100.5,129.49,67.9,0.5283,0,0,167.83,294.31,genuine
141,1,S001G001,2026-03-21T09:15:12.420000,60,75.99,131.24,63.1,0.4753,0,0,133.51,278.24,genuine
142,1,S001G001,2026-03-21T09:15:14.213000,61,83.7,149.66,56.5,0.361,0,0,179.12,263.28,genuine
143,1,S001G001,2026-03-21T09:15:13.888000,62,89.65,134.6,49.0,0.3198,0,0,166.76,283.93,genuine
144,1,S001G001,2026-03-21T09:15:09.954000,63,75.82,82.33,51.6,0.4446,0,0,149.55,316.23,genuine
145,1,S001G001,2026-03-21T09:15:15.808000,64,88.19,159.04,61.0,0.5082,0,0,139.29,274.95,genuine
146,1,S001G001,2026-03-21T09:15:13.780000,65,96.25,115.95,53.0,0.4273,0,0,202.47,278.76,genuine
147,1,S001G001,2026-03-21T09:15:12.606000,66,101.88,89.55,48.2,0.4785,0,0,153.33,251.07,genuine
148,1,S001G001,2026-03-21T09:15:12.127000,67,88.3,93.23,53.2,0.4942,0,0,126.23,251.94,genuine
149,1,S001G001,2026-03-21T09:15:13.532000,68,86.06,113.08,60.7,0.4585,1,0,162.99,234.64,genuine
150,1,S001G001,2026-03-21T09:15:17.664000,69,113.22,143.47,52.1,0.4615,0,0,170.1,291.47,genuine
151,1,S001G001,2026-03-21T09:15:13.230000,70,85.06,104.73,59.9,0.3952,0,0,179.23,281.67,genuine
152,1,S001G001,2026-03-21T09:15:11.786000,71,54.34,111.99,50.0,0.4153,0,0,172.16,263.81,genuine
153,1,S001G001,2026-03-21T09:15:16.704000,72,114.35,118.51,65.5,0.4168,0,0,155.3,239.68,genuine
154,1,S001G001,2026-03-21T09:15:16.717000,73,107.43,121.92,47.8,0.4845,0,0,147.46,226.61,genuine
155,1,S001G001,2026-03-21T09:15:14.874000,74,93.84,107.93,43.0,0.481,0,1,158.8,274.88,genuine
156,1,S001G001,2026-03-21T09:15:15.750000,75,106.06,104.74,52.3,0.5436,0,0,163.77,292.83,genuine
157,1,S001G001,2026-03-21T09:15:12.996000,76,97.01,74.34,57.2,0.4554,0,0,155.19,202.95,genuine
158,1,S001G001,2026-03-21T09:15:16.709000,77,66.24,151.1,53.3,0.4015,0,0,167.15,220.67,genuine
159,1,S001G001,2026-03-21T09:15:18.330000,78,107.26,128.11,42.7,0.5027,0,0,147.88,244.79,genuine
160,1,S001G001,2026-03-21T09:15:14.457000,79,81.44,101.78,45.1,0.4501,1,0,114.35,351.63,genuine
161,1,S001G002,2026-02-05T18:50:00,0,96.86,112.2,46.4,0.4341,0,0,167.59,261.67,genuine
162,1,S001G002,2026-02-05T18:50:00.167000,1,74.88,92.36,53.8,0.4917,0,0,137.78,292.61,genuine
163,1,S001G002,2026-02-05T18:50:00.344000,2,77.03,95.78,50.3,0.524,0,0,137.16,260.98,genuine
164,1,S001G002,2026-02-05T18:50:00.564000,3,86.45,102.22,62.9,0.5428,0,0,142.54,257.71,genuine
165,1,S001G002,2026-02-05T18:50:00.912000,4,91.23,137.14,52.9,0.5184,0,0,185.06,307.45,genuine
166,1,S001G002,2026-02-05T18:50:00.970000,5,66.22,127.88,54.4,0.4466,0,0,149.14,291.65,genuine
167,1,S001G002,2026-02-05T18:50:01.386000,6,106.66,125.02,41.7,0.5592,0,0,133.92,225.97,genuine
168,1,S001G002,2026-02-05T18:50:01.393000,7,85.68,114.24,57.9,0.48,0,1,138.87,256.96,genuine
169,1,S001G002,2026-02-05T18:50:01.496000,8,97.43,90.21,50.5,0.4513,0,0,152.22,230.6,genuine
170,1,S001G002,2026-02-05T18:50:01.539000,9,94.95,76.77,64.2,0.611,0,0,149.15,241.59,genuine
171,1,S001G002,2026-02-05T18:50:01.970000,10,108.01,89.95,48.6,0.4466,0,0,162.69,261.15,genuine
172,1,S001G002,2026-02-05T18:50:02.420000,11,97.31,123.16,60.1,0.4968,0,0,196.53,243.44,genuine
173,1,S001G002,2026-02-05T18:50:02.388000,12,97.58,101.94,44.3,0.4212,0,0,133.85,259.14,genuine
174,1,S001G002,2026-02-05T18:50:03.432000,13,106.9,157.59,64.3,0.5191,0,0,171.11,234.26,genuine
175,1,S001G002,2026-02-05T18:50:02.842000,14,93.5,110.42,56.8,0.551,0,0,159.18,235.58,genuine
176,1,S001G002,2026-02-05T18:50:02.670000,15,82.56,96.29,47.6,0.4365,0,0,167.21,223.61,genuine
177,1,S001G002,2026-02-05T18:50:03.408000,16,90.67,122.47,56.7,0.5291,0,0,143.4,250.41,genuine
178,1,S001G002,2026-02-05T18:50:02.890000,17,88.04,81.97,33.8,0.5727,0,0,140.73,256.61,genuine
179,1,S001G002,2026-02-05T18:50:03.600000,18,82.34,118.21,57.3,0.4707,0,0,145.66,251.51,genuine
180,1,S001G002,2026-02-05T18:50:03.838000,19,97.07,105.72,63.8,0.4343,0,0,132.92,266.94,genuine
181,1,S001G002,2026-02-05T18:50:03.920000,20,81.23,114.95,56.3,0.6103,0,0,161.02,293.86,genuine
182,1,S001G002,2026-02-05T18:50:04.788000,21,106.19,122.32,44.0,0.5335,0,0,169.14,240.44,genuine
183,1,S001G002,2026-02-05T18:50:04.378000,22,107.23,92.47,44.3,0.4752,0,0,165.62,302.35,genuine
184,1,S001G002,2026-02-05T18:50:05.313000,23,105.56,125.68,45.6,0.4746,0,0,196.86,321.9,genuine
185,1,S001G002,2026-02-05T18:50:05.064000,24,74.39,137.46,71.6,0.3966,0,0,133.46,264.52,genuine
186,1,S001G002,2026-02-05T18:50:05.400000,25,98.72,117.95,62.2,0.4372,0,0,139.22,263.94,genuine
187,1,S001G002,2026-02-05T18:50:05.018000,26,86.4,106.82,52.2,0.5664,0,0,168.62,233.94,genuine
188,1,S001G002,2026-02-05T18:50:05.049000,27,89.37,98.02,45.0,0.4929,0,0,126.09,239.66,genuine
189,1,S001G002,2026-02-05T18:50:04.816000,28,89.13,83.78,54.8,0.536,0,0,161.27,227.69,genuine
190,1,S001G002,2026-02-05T18:50:05.133000,29,89.12,88.01,64.5,0.5099,0,0,175.07,302.84,genuine
191,1,S001G002,2026-02-05T18:50:07.410000,30,122.36,124.68,54.2,0.4792,0,0,149.46,237.84,genuine
192,1,S001G002,2026-02-05T18:50:05.115000,31,96.58,69.07,42.3,0.5371,0,0,161.67,292.19,genuine
193,1,S001G002,2026-02-05T18:50:05.664000,32,84.01,93.41,58.3,0.4562,0,0,136.01,307.44,genuine
194,1,S001G002,2026-02-05T18:50:05.742000,33,88.81,85.75,41.2,0.4422,0,0,143.63,258.9,genuine
195,1,S001G002,2026-02-05T18:50:07.276000,34,102.62,111.88,59.2,0.4606,0,0,129.87,323.39,genuine
196,1,S001G002,2026-02-05T18:50:06.755000,35,94.97,99.03,62.7,0.5339,0,0,177.69,198.71,genuine
197,1,S001G002,2026-02-05T18:50:06.984000,36,95.65,98.76,67.3,0.4486,0,0,156.04,300.78,genuine
198,1,S001G002,2026-02-05T18:50:08.732000,37,96.79,139.26,47.3,0.553,0,0,144.23,254.94,genuine
199,1,S001G002,2026-02-05T18:50:06.726000,38,84.59,92.63,50.8,0.4578,0,0,184.67,296.95,genuine
200,1,S001G002,2026-02-05T18:50:08.697000,39,108.14,115.66,49.0,0.5245,0,0,143.76,269.37,genuine
201,1,S001G002,2026-02-05T18:50:08.520000,40,102.99,110.74,37.1,0.3923,0,0,125.7,256.01,genuine
202,1,S001G002,2026-02-05T18:50:08.815000,41,117.96,97.18,70.1,0.5254,0,0,177.08,266.01,genuine
203,1,S001G002,2026-02-05T18:50:07.476000,42,62.36,116.21,48.1,0.6005,0,1,148.3,260.62,genuine
204,1,S001G002,2026-02-05T18:50:09.245000,43,102.43,113.02,52.3,0.5436,0,0,170.3,239.41,genuine
205,1,S001G002,2026-02-05T18:50:09.592000,44,94.3,124.23,61.8,0.5043,0,0,154.0,213.67,genuine
206,1,S001G002,2026-02-05T18:50:07.785000,45,72.69,100.51,69.3,0.5225,0,0,148.49,265.32,genuine
207,1,S001G002,2026-02-05T18:50:08.786000,46,88.18,103.31,59.4,0.5032,0,0,160.01,316.56,genuine
208,1,S001G002,2026-02-05T18:50:09.964000,47,102.42,109.84,51.7,0.4688,0,0,166.25,272.27,genuine
209,1,S001G002,2026-02-05T18:50:10.656000,48,87.6,134.48,52.8,0.3457,0,0,189.92,311.47,genuine
210,1,S001G002,2026-02-05T18:50:11.221000,49,87.23,142.1,57.9,0.4764,0,0,140.64,247.36,genuine
211,1,S001G002,2026-02-05T18:50:09.300000,50,78.5,107.74,49.9,0.386,0,0,158.18,205.61,genuine
212,1,S001G002,2026-02-05T18:50:11.679000,51,104.13,125.83,49.5,0.4635,0,0,134.29,256.04,genuine
213,1,S001G002,2026-02-05T18:50:10.140000,52,85.64,109.64,63.0,0.4368,0,0,149.4,260.01,genuine
214,1,S001G002,2026-02-05T18:50:09.593000,53,69.11,112.37,56.3,0.4029,0,0,121.71,279.28,genuine
215,1,S001G002,2026-02-05T18:50:09.936000,54,89.99,94.44,39.1,0.5097,0,1,152.91,275.57,genuine
216,1,S001G002,2026-02-05T18:50:12.870000,55,121.7,113.04,62.1,0.5944,1,0,161.02,215.79,genuine
217,1,S001G002,2026-02-05T18:50:12.376000,56,110.21,110.79,67.0,0.3084,0,0,173.14,250.44,genuine
218,1,S001G002,2026-02-05T18:50:09.747000,57,84.46,87.18,49.8,0.3875,0,0,133.1,258.0,genuine
219,1,S001G002,2026-02-05T18:50:11.078000,58,90.87,100.35,53.1,0.4829,0,0,133.28,256.35,genuine
220,1,S001G002,2026-02-05T18:50:11.623000,59,96.37,100.91,59.2,0.4435,0,0,184.61,302.11,genuine
221,1,S001G002,2026-02-05T18:50:12.300000,60,73.24,131.86,52.0,0.4781,0,0,183.36,275.02,genuine
222,1,S001G002,2026-02-05T18:50:12.139000,61,90.96,108.59,43.7,0.4668,0,0,161.44,258.82,genuine
223,1,S001G002,2026-02-05T18:50:12.152000,62,81.65,114.4,39.4,0.5086,0,0,148.74,243.23,genuine
224,1,S001G002,2026-02-05T18:50:13.545000,63,89.87,125.66,47.6,0.4481,0,0,196.0,246.92,genuine
225,1,S001G002,2026-02-05T18:50:13.184000,64,107.22,99.59,57.9,0.4087,0,0,140.31,220.18,genuine
226,1,S001G002,2026-02-05T18:50:14.300000,65,86.61,134.21,60.3,0.5041,0,0,166.86,245.95,genuine
227,1,S001G002,2026-02-05T18:50:10.824000,66,86.07,78.87,47.0,0.5352,0,0,166.9,283.24,genuine
228,1,S001G002,2026-02-05T18:50:16.080000,67,97.4,143.23,44.7,0.5708,0,0,162.75,288.62,genuine
229,1,S001G002,2026-02-05T18:50:11.832000,68,84.17,90.0,48.8,0.4969,0,0,135.66,254.15,genuine
230,1,S001G002,2026-02-05T18:50:13.869000,69,99.9,101.27,52.7,0.4803,0,0,215.29,345.96,genuine
