session_id,user_id,label,keystroke_count,mouse_event_count,session_duration_sec,avg_hold_time_ms,std_hold_time_ms,avg_flight_time_ms,std_flight_time_ms,typing_speed_wpm,avg_pressure,error_rate,avg_digraph_ms,avg_trigraph_ms,avg_mouse_velocity,avg_mouse_accel,avg_curvature,avg_jitter,avg_click_duration_ms,rhythm_consistency,data_familiarity_score,risk_score,authenticity_score
S001I005,1,impostor,80,120,263.6,70.46,16.56,111.47,27.62,29.9,0.5676,0.0215,230.37,134.58,447.2,825.28,0.1323,3.41,119.36,0.4582,0.2697,0.4762,0.4649
S001I006,1,impostor,80,120,269.2,89.94,31.07,197.79,38.06,35.3,0.5523,0.0436,112.02,211.0,547.84,488.6,0.1077,3.825,118.3,0.4538,0.3442,0.7495,0.4628
S001I007,1,impostor,80,120,330.8,87.57,27.55,59.57,26.94,75.3,0.5647,0.1516,137.64,263.04,163.32,560.13,0.1576,4.588,93.19,0.4796,0.4129,0.6568,0.3606
S001I008,1,impostor,80,120,527.9,87.28,13.84,83.97,50.61,41.2,0.8095,0.1185,157.06,141.06,880.03,798.71,0.1312,1.474,76.68,0.6601,0.3109,0.785,0.3595
S001I009,1,impostor,80,120,300.1,111.24,27.55,82.56,26.94,70.7,0.7739,0.1386,120.52,296.15,11.64,1387.15,0.1482,3.534,59.97,0.4981,0.4049,0.7896,0.3252
S001I010,1,impostor,80,120,422.9,103.17,20.01,145.24,34.25,95.8,0.5746,0.0504,174.42,204.06,225.17,796.1,0.1423,1.8,116.96,0.5693,0.3886,0.7379,0.2869
S001I011,1,impostor,80,120,303.8,114.9,29.82,149.84,46.53,36.7,0.628,0.0411,187.1,242.7,669.76,645.2,0.1548,4.222,95.45,0.5882,0.4087,0.7509,0.2886
S001I012,1,impostor,80,120,376.5,75.06,12.16,124.73,27.07,68.2,0.7962,0.0574,157.61,279.69,400.32,367.67,0.172,3.022,139.53,0.5101,0.3932,0.6916,0.4078
S001I013,1,impostor,80,120,391.5,78.32,16.56,126.57,27.62,82.3,0.5208,0.0219,197.58,155.47,679.03,1160.15,0.1549,3.436,130.94,0.4228,0.5162,0.6156,0.4699
S001I014,1,impostor,80,120,302.3,82.99,32.45,120.19,36.06,58.6,0.8301,0.1378,166.51,225.75,736.87,1066.69,0.2675,4.143,112.1,0.546,0.506,0.6651,0.2736
S001I015,1,impostor,80,120,282.1,84.18,12.16,135.47,27.07,68.2,0.8124,0.0658,126.48,322.15,307.3,355.69,0.1805,4.043,169.94,0.6702,0.494,0.697,0.4639
S001I016,1,impostor,80,120,520.8,49.02,31.07,129.29,38.06,40.6,0.7882,0.0394,101.23,232.57,240.86,593.82,0.1798,2.255,145.68,0.6262,0.5061,0.5928,0.4316
S001I017,1,impostor,80,120,352.4,105.71,13.84,107.25,50.61,55.6,0.4247,0.1096,169.63,195.85,427.3,1222.2,0.0967,1.318,102.75,0.5746,0.5451,0.6588,0.1979
S001I018,1,impostor,80,120,450.1,98.3,20.01,147.84,34.25,94.8,0.5352,0.0606,162.93,190.75,243.67,525.44,0.0876,2.565,128.8,0.4347,0.4338,0.9812,0.3507
S001I019,1,impostor,80,120,420.6,96.88,12.16,131.28,27.07,68.8,0.4298,0.0763,145.07,303.97,349.36,30.24,0.0886,2.784,130.78,0.4822,0.2692,0.9316,0.197
S002G000,2,genuine,80,120,327.6,88.14,10.64,83.0,38.93,53.4,0.5745,0.0743,139.08,205.9,453.52,757.37,0.0927,1.697,57.17,0.9283,0.9322,0.1604,0.7282
S002G001,2,genuine,80,120,176.5,82.55,10.64,46.17,38.93,51.1,0.9059,0.0902,170.91,181.2,497.12,1015.7,0.0163,1.296,70.44,0.956,0.8355,0.3242,0.839
S002G002,2,genuine,80,120,223.0,76.29,10.64,58.38,38.93,51.8,0.5712,0.0829,142.43,204.1,463.53,1391.41,0.0389,1.086,76.41,0.8201,0.8552,0.1519,0.9488
S002G003,2,genuine,80,120,438.7,94.25,10.64,51.43,38.93,45.1,0.5878,0.0744,186.37,173.26,676.49,701.32,0.0774,1.155,85.69,0.8229,0.9989,0.1384,0.9521
S002G004,2,genuine,80,120,389.0,76.37,10.64,69.69,38.93,61.2,0.5565,0.0718,141.01,185.37,554.5,713.14,0.0912,2.082,90.28,0.8158,0.9882,0.1825,0.8508
S002G005,2,genuine,80,120,364.1,75.06,10.64,96.27,38.93,46.9,0.7941,0.0773,146.68,151.39,651.12,857.89,0.0972,2.129,50.2,0.7911,0.838,0.2639,0.8598
S002G006,2,genuine,80,120,259.5,81.07,10.64,117.54,38.93,52.0,0.7019,0.0745,159.99,183.72,549.96,999.11,0.1631,1.363,74.94,0.5952,0.7183,0.1128,0.7853
S002G007,2,genuine,80,120,202.9,80.33,10.64,106.52,38.93,54.4,0.8277,0.0885,146.72,191.53,496.85,858.61,0.0669,1.86,81.13,0.885,0.8058,0.0838,1
S002G008,2,genuine,80,120,303.3,113.38,10.64,78.74,38.93,48.8,0.5204,0.0833,148.76,157.6,721.3,1028.43,0.0823,1.499,71.86,0.7447,0.8232,0.1323,0.7672
S002G009,2,genuine,80,120,335.5,81.56,10.64,38.66,38.93,51.7,0.6162,0.0882,135.79,164.85,464.42,861.15,0.085,1.024,98.26,0.9757,0.9771,0.2098,0.8867
S002G010,2,genuine,80,120,308.0,102.24,10.64,92.29,38.93,55.5,0.5431,0.0657,143.1,129.9,527.36,801.9,0.1233,1.003,73.52,0.8763,0.911,0.2107,0.8644
S002G011,2,genuine,80,120,295.6,75.0,10.64,94.61,38.93,51.7,0.8178,0.0723,149.82,194.5,448.21,415.65,0.0247,1.344,79.55,0.8439,0.8869,0.1809,0.8661
S002G012,2,genuine,80,120,410.5,82.48,10.64,88.18,38.93,51.0,0.6821,0.0795,137.89,140.99,626.06,506.96,0.1062,0.951,67.61,0.733,1,0.1046,0.886
S002G013,2,genuine,80,120,287.1,90.69,10.64,136.89,38.93,51.9,0.6927,0.0757,159.67,185.79,539.57,589.52,0.0444,1.094,70.05,0.9218,0.9463,0.1278,0.8751
S002G014,2,genuine,80,120,263.6,92.62,10.64,56.8,38.93,51.3,0.4967,0.05,136.82,231.93,688.64,971.84,0.1061,1.51,67.06,0.8487,0.9297,0.1081,0.8608
S002G015,2,genuine,80,120,360.4,91.68,10.64,22.27,38.93,48.0,0.6943,0.086,175.35,133.8,340.44,893.13,0.0792,1.72,72.84,0.7972,0.8823,0.2345,0.8609
S002G016,2,genuine,80,120,185.8,70.01,10.64,143.6,38.93,42.3,0.5012,0.0844,134.88,186.63,415.93,946.72,0.0963,0.704,68.91,0.6311,0.9236,0.2163,0.9894
S002G017,2,genuine,80,120,389.2,95.09,10.64,80.68,38.93,50.6,0.7787,0.0802,143.34,187.29,661.77,659.61,0.0808,1.51,74.18,0.8389,0.9502,0.1746,1
S002G018,2,genuine,80,120,266.5,81.06,10.64,82.12,38.93,49.6,0.7135,0.0845,122.31,179.13,536.68,731.8,0.056,1.404,79.8,0.7331,0.985,0.0079,0.9778
S002G019,2,genuine,80,120,271.8,99.11,10.64,29.03,38.93,56.4,0.8184,0.1064,149.75,142.33,497.11,524.77,0.0604,1.173,81.13,0.943,0.9972,0.0934,0.8867
S002G020,2,genuine,80,120,238.9,74.76,10.64,113.7,38.93,57.9,0.7956,0.0864,145.34,168.04,531.45,526.9,0.0518,1.16,72.82,0.723,0.8844,0.1121,0.938
S002G021,2,genuine,80,120,203.3,89.53,10.64,141.68,38.93,53.3,0.731,0.0691,144.69,152.82,443.23,650.9,0.0863,1.266,50.65,0.8781,0.7124,0,0.9857
S002G022,2,genuine,80,120,389.3,88.13,10.64,41.63,38.93,51.3,0.6624,0.0927,128.25,136.91,657.05,1139.61,0.0685,0.638,97.46,0.8084,0.9052,0.1668,0.8968
S002G023,2,genuine,80,120,253.7,89.23,10.64,118.2,38.93,51.1,0.652,0.0771,143.44,202.12,594.9,775.23,0.1131,1.716,76.48,0.7593,0.8728,0,0.8555
S002G024,2,genuine,80,120,328.6,94.78,10.64,72.42,38.93,52.2,0.9087,0.0925,148.37,188.86,578.56,534.12,0.0701,1.877,88.84,0.7646,0.7608,0.1993,1
S002G025,2,genuine,80,120,305.8,84.26,10.64,95.95,38.93,58.3,0.7767,0.0826,127.52,187.36,477.16,1126.9,0.0654,1.589,78.03,0.8469,0.9207,0.1804,0.7752
S002G026,2,genuine,80,120,282.8,95.66,10.64,83.11,38.93,47.4,0.5133,0.0582,107.15,167.42,379.77,627.67,0.0653,0.973,76.05,0.8248,0.827,0.1637,0.9302
S002G027,2,genuine,80,120,186.2,108.94,10.64,97.56,38.93,51.3,0.8896,0.0764,158.9,162.21,533.54,452.61,0.0983,1.58,71.67,0.875,1,0.294,0.8947
S002G028,2,genuine,80,120,212.3,95.52,10.64,81.32,38.93,50.6,0.6862,0.0885,150.24,139.48,445.9,543.89,0.1118,1.78,51.19,0.7839,0.9303,0.163,1
S002G029,2,genuine,80,120,296.6,98.76,10.64,146.49,38.93,51.7,0.6764,0.0738,125.26,208.66,514.42,1040.55,0.1069,1.86,49.3,0.8883,0.7412,0.0469,0.8016
S002G030,2,genuine,80,120,332.7,91.0,10.64,91.18,38.93,56.5,0.5925,0.078,120.91,193.97,463.23,463.66,0.0597,1.702,79.62,0.9289,0.7831,0.0875,0.9403
S002G031,2,genuine,80,120,240.0,100.04,10.64,168.01,38.93,49.6,0.8764,0.1086,168.65,172.06,510.3,774.33,0.0466,1.147,91.82,0.7377,0.8167,0.2411,0.8791
S002G032,2,genuine,80,120,392.4,80.52,10.64,131.41,38.93,57.9,0.7614,0.0571,116.92,155.14,442.28,1063.37,0.1096,1.231,65.84,0.882,0.5579,0.075,0.8016
S002G033,2,genuine,80,120,371.6,91.65,10.64,91.08,38.93,52.9,0.3937,0.0646,174.33,171.98,449.74,857.27,0,1.3,75.53,1,0.8437,0.2197,0.9417
S002G034,2,genuine,80,120,265.4,90.47,10.64,82.41,38.93,47.4,0.7691,0.0747,126.25,192.15,511.37,985.32,0.0631,1.098,63.7,0.7732,0.7064,0.1395,0.888
S002G035,2,genuine,80,120,209.4,86.33,10.64,76.36,38.93,50.7,0.5736,0.0735,138.83,170.23,659.59,946.16,0.0849,1.191,67.44,0.924,0.7631,0.0384,0.9059
S002G036,2,genuine,80,120,320.5,98.64,10.64,105.59,38.93,45.1,0.6439,0.0795,160.31,193.03,438.8,917.72,0.1094,2.065,81.44,0.7483,0.8011,0.2317,0.7526
S002G037,2,genuine,80,120,251.3,91.55,10.64,103.82,38.93,56.4,0.7307,0.0965,149.96,190.51,420.28,895.54,0.0494,1.196,94.64,0.7688,0.8331,0.1726,0.9511
S002G038,2,genuine,80,120,382.2,84.56,10.64,104.85,38.93,57.4,0.6611,0.0895,115.33,137.7,433.33,580.17,0.0469,0.761,90.47,0.828,1,0.1758,0.9133
S002G039,2,genuine,80,120,330.4,92.87,10.64,92.12,38.93,49.4,0.6379,0.0766,148.11,161.45,471.6,482.66,0.0835,1.645,81.86,0.7722,0.8106,0.1262,0.8283
S002G040,2,genuine,80,120,286.0,100.67,10.64,103.16,38.93,57.2,0.8646,0.0899,139.56,174.85,538.45,557.21,0.0341,1.744,72.29,1,0.8594,0.1018,0.8067
S002G041,2,genuine,80,120,196.4,70.42,10.64,76.78,38.93,50.1,0.5567,0.0724,113.56,156.93,589.24,343.85,0.1109,2.135,77.25,0.8323,0.9404,0.3525,0.8791
S002G042,2,genuine,80,120,317.5,91.99,10.64,94.9,38.93,53.4,0.7512,0.066,133.65,184.52,610.69,614.36,0.1255,1.256,83.17,0.7049,0.9464,0.1837,0.7321
S002G043,2,genuine,80,120,323.5,103.58,10.64,96.67,38.93,49.4,0.742,0.0827,127.67,135.21,616.05,807.03,0.0637,1.464,85.15,0.7951,0.95,0.1875,0.8925
S002G044,2,genuine,80,120,315.2,94.85,10.64,90.24,38.93,56.2,0.6988,0.0821,129.09,156.67,754.19,505.98,0.0885,0.974,43.64,0.8875,0.9724,0.05,0.8052
S002G045,2,genuine,80,120,350.3,79.77,10.64,75.39,38.93,43.5,0.6973,0.0807,174.63,143.32,573.25,651.93,0.0819,1.389,64.99,0.8028,0.8045,0.1474,0.7888
S002G046,2,genuine,80,120,283.9,91.74,10.64,112.15,38.93,50.8,0.7464,0.0768,138.19,165.53,623.7,685.44,0.0577,1.653,88.9,0.7918,0.7938,0.0625,0.869
S002G047,2,genuine,80,120,249.6,77.76,10.64,70.36,38.93,47.1,0.3964,0.069,152.74,122.97,670.14,380.71,0.0689,1.668,93.05,0.9341,0.9539,0,0.8744
S002G048,2,genuine,80,120,308.6,96.11,10.64,157.13,38.93,54.2,0.6284,0.0886,146.83,219.13,522.0,696.03,0.0435,1.08,69.07,0.7244,1,0.1863,0.7974
S002G049,2,genuine,80,120,272.2,83.1,10.64,125.73,38.93,47.0,0.6324,0.0619,143.62,149.05,544.09,388.6,0.0678,1.397,82.21,0.8699,0.9376,0.1755,0.9701
S002I000,2,impostor,80,120,414.4,85.82,17.29,15.7,51.84,57.6,0.5465,0.0398,142.06,196.35,256.51,986.72,0.247,2.188,129.55,0.4422,0.5076,0.8227,0.1716
S002I001,2,impostor,80,120,238.5,103.77,12.16,171.84,27.07,57.0,0.6069,0.0724,117.35,291.6,285.57,235.43,0.2159,3.28,140.53,0.5316,0.6435,0.9153,0.3634
S002I002,2,impostor,80,120,469.2,110.88,20.01,119.53,34.25,85.6,0.5739,0.057,168.98,201.75,413.88,643.03,0.083,2.377,118.79,0.49,0.2954,0.7107,0.5318
S002I003,2,impostor,80,120,418.3,96.56,17.29,151.01,51.84,30.3,0.4543,0.0556,127.37,199.59,538.06,816.26,0.329,2.387,127.4,0.5599,0.4348,0.8741,0.367
S002I004,2,impostor,80,120,385.0,152.38,29.82,171.67,46.53,63.0,0.8025,0.0357,179.65,265.63,405.29,696.03,0.1596,3.909,117.18,0.5374,0.5344,0.5779,0.1682
S002I005,2,impostor,80,120,380.8,84.12,12.16,135.26,27.07,57.5,0.6842,0.0797,141.57,256.04,419.82,695.2,0.1807,2.738,142.69,0.6654,0.607,0.7808,0.2023
S002I006,2,impostor,80,120,438.0,36.13,32.45,64.88,36.06,56.8,0.8066,0.14,186.12,249.11,345.31,498.17,0.2266,2.762,109.39,0.607,0.4753,0.6638,0.3385
S002I007,2,impostor,80,120,372.2,111.67,31.07,174.37,38.06,38.7,0.8231,0.0166,121.44,215.4,464.09,572.26,0.1092,2.416,124.42,0.4913,0.2536,0.7035,0.4597
S002I008,2,impostor,80,120,391.4,99.16,17.29,119.4,51.84,42.5,0.3705,0.053,107.74,210.2,484.43,715.89,0.2193,0.977,157.13,0.6756,0.3245,0.4173,0.3308
S002I009,2,impostor,80,120,283.3,98.25,20.01,160.48,34.25,86.2,0.6799,0.0438,193.6,197.15,416.37,464.24,0.0434,2.228,116.65,0.5905,0.3467,0.7918,0.2885
S002I010,2,impostor,80,120,465.2,132.91,32.45,66.91,36.06,61.7,0.6552,0.138,167.08,235.04,596.24,1254.68,0.2712,2.994,106.68,0.4636,0.4318,0.7677,0.3434
S002I011,2,impostor,80,120,210.8,94.64,32.45,145.97,36.06,58.7,0.4855,0.1415,189.8,209.76,620.42,1153.2,0.182,2.997,75.86,0.502,0.4284,0.7133,0.3411
S002I012,2,impostor,80,120,422.3,89.54,17.29,79.36,51.84,56.2,0.4719,0.0482,110.63,227.28,506.5,1161.65,0.1732,1.95,151.42,0.4414,0.6514,0.7783,0.4674
S002I013,2,impostor,80,120,459.2,95.52,16.56,137.32,27.62,72.6,0.6902,0.0264,206.4,164.06,668.98,585.55,0.1538,2.81,124.65,0.6179,0.3352,0.5649,0.3835
S002I014,2,impostor,80,120,344.7,94.14,17.29,-7.18,51.84,52.1,0.5125,0.0513,115.7,193.19,540.46,1430.0,0.2291,0.693,122.64,0.5925,0.6808,0.5568,0.3901
S002I015,2,impostor,80,120,394.1,74.31,31.07,106.13,38.06,28.2,0.6216,0.0411,100.54,207.25,68.87,568.12,0.1088,2.564,120.72,0.4236,0.1344,0.7934,0.3044
S002I016,2,impostor,80,120,393.4,79.38,20.01,70.44,34.25,92.9,0.8796,0.039,120.31,148.25,221.17,126.87,0.0663,1.868,109.77,0.537,0.4399,0.6284,0.4418
S002I017,2,impostor,80,120,355.3,41.46,32.45,171.73,36.06,54.2,0.5496,0.122,182.41,209.88,363.07,907.66,0.2063,2.798,92.34,0.4456,0.4795,0.7791,0.2594
S002I018,2,impostor,80,120,470.6,102.82,16.48,113.72,26.75,44.4,0.3621,0.0855,130.8,278.87,656.29,604.94,0.1929,3.522,125.09,0.4827,0.5623,0.6939,0.2254
S002I019,2,impostor,80,120,520.2,115.77,20.01,141.1,34.25,91.5,0.498,0.0386,175.5,192.55,230.92,-4.46,0.072,2.875,106.57,0.5439,0.5215,0.8266,0.4501
