event_id,user_id,session_id,timestamp,velocity_px_s,acceleration_px_s2,curvature,jitter_amplitude,click_duration_ms,dx,dy,event_type,direction_changes,label
19,1,S001G000,2026-03-22T00:00:00.900000,519.84,976.1,0.1656,3.416,,-108.4,-72.5,move,3,genuine
20,1,S001G000,2026-03-22T00:00:00.950000,707.46,937.95,0.1597,3.47,142.58,-346.8,-164.5,click,5,genuine
21,1,S001G000,2026-03-22T00:00:01,484.9,1181.21,0.1135,3.304,,-191.6,-165.2,scroll,0,genuine
22,1,S001G000,2026-03-22T00:00:01.050000,490.92,1073.03,0.1504,3.531,85.52,294.1,-132.0,click,5,genuine
23,1,S001G000,2026-03-22T00:00:01.100000,513.27,672.64,0.1783,2.304,,-150.7,-26.3,scroll,3,genuine
24,1,S001G000,2026-03-22T00:00:01.150000,521.47,966.4,0.1688,3.444,131.63,70.9,19.0,click,5,genuine
25,1,S001G000,2026-03-22T00:00:01.200000,497.81,388.43,0.221,2.927,,-69.1,12.6,move,2,genuine
26,1,S001G000,2026-03-22T00:00:01.250000,657.45,741.48,0.1996,3.836,,-289.7,-119.6,move,0,genuine
27,1,S001G000,2026-03-22T00:00:01.300000,570.85,822.6,0.1506,3.938,,-57.2,133.1,move,3,genuine
28,1,S001G000,2026-03-22T00:00:01.350000,461.03,653.99,0.0997,3.605,,57.4,11.1,move,5,genuine
29,1,S001G000,2026-03-22T00:00:01.400000,408.05,829.34,0.2101,3.468,119.27,-27.4,-62.6,click,0,genuine
30,1,S001G000,2026-03-22T00:00:01.450000,563.58,660.42,0.2667,3.371,,-321.0,318.8,move,3,genuine
31,1,S001G000,2026-03-22T00:00:01.500000,496.05,804.13,0.1181,3.498,110.8,256.2,-77.7,click,1,genuine
32,1,S001G000,2026-03-22T00:00:01.550000,579.08,1027.3,0.1931,3.583,,320.2,-106.4,move,3,genuine
33,1,S001G000,2026-03-22T00:00:01.600000,545.27,907.8,0.1772,3.185,,11.4,-83.3,move,3,genuine
34,1,S001G000,2026-03-22T00:00:01.650000,558.6,871.44,0.1509,2.908,,-52.2,86.5,move,5,genuine
35,1,S001G000,2026-03-22T00:00:01.700000,504.69,657.58,0.167,2.936,,-74.9,8.7,move,0,genuine
36,1,S001G000,2026-03-22T00:00:01.750000,389.25,728.36,0.1673,3.467,130.48,-100.5,108.2,click,0,genuine
37,1,S001G000,2026-03-22T00:00:01.800000,503.24,1347.55,0.2076,2.757,,172.0,-7.1,move,0,genuine
38,1,S001G000,2026-03-22T00:00:01.850000,496.43,988.73,0.1362,3.078,,104.5,8.5,scroll,1,genuine
39,1,S001G000,2026-03-22T00:00:01.900000,495.78,759.9,0.1961,3.36,,184.7,-42.5,move,2,genuine
40,1,S001G000,2026-03-22T00:00:01.950000,409.36,1059.19,0.1425,3.671,,-32.6,-121.9,move,3,genuine
41,1,S001G000,2026-03-22T00:00:02,582.76,607.08,0.1315,3.326,,-409.3,86.5,move,3,genuine
42,1,S001G000,2026-03-22T00:00:02.050000,670.97,498.13,0.1546,3.066,131.37,-329.1,253.9,click,2,genuine
43,1,S001G000,2026-03-22T00:00:02.100000,406.56,578.01,0.0887,3.445,,12.1,-21.1,move,3,genuine
44,1,S001G000,2026-03-22T00:00:02.150000,551.72,791.98,0.1628,3.292,,142.9,-158.5,scroll,2,genuine
45,1,S001G000,2026-03-22T00:00:02.200000,405.77,1032.92,0.1919,3.179,,-84.8,59.7,scroll,4,genuine
46,1,S001G000,2026-03-22T00:00:02.250000,536.21,665.48,0.1221,4.642,,-209.6,27.6,move,1,genuine
47,1,S001G000,2026-03-22T00:00:02.300000,439.72,645.19,0.2283,3.56,139.46,124.7,-5.1,click,2,genuine
48,1,S001G000,2026-03-22T00:00:02.350000,596.15,835.09,0.2006,3.533,,-275.4,-148.4,move,3,genuine
49,1,S001G000,2026-03-22T00:00:02.400000,569.04,704.46,0.1624,2.907,109.41,-93.0,125.7,click,1,genuine
50,1,S001G000,2026-03-22T00:00:02.450000,559.24,914.98,0.1866,4.655,,-114.0,-61.4,move,1,genuine
51,1,S001G000,2026-03-22T00:00:02.500000,557.47,1238.23,0.1488,4.878,117.95,283.9,1.4,click,0,genuine
52,1,S001G000,2026-03-22T00:00:02.550000,431.44,654.75,0.2219,4.185,,392.2,-261.9,move,5,genuine
53,1,S001G000,2026-03-22T00:00:02.600000,686.93,1087.41,0.1392,3.526,,-269.6,-127.8,move,0,genuine
54,1,S001G000,2026-03-22T00:00:02.650000,492.04,762.54,0.1565,4.122,,2.1,-133.4,move,3,genuine
55,1,S001G000,2026-03-22T00:00:02.700000,460.75,1004.58,0.1624,3.162,,246.0,-264.6,move,4,genuine
56,1,S001G000,2026-03-22T00:00:02.750000,598.26,770.68,0.1792,3.352,107.32,-361.8,278.9,click,1,genuine
57,1,S001G000,2026-03-22T00:00:02.800000,423.39,692.91,0.1839,4.692,,-204.1,150.6,move,1,genuine
58,1,S001G000,2026-03-22T00:00:02.850000,466.32,759.04,0.1158,3.292,,-83.9,206.8,scroll,0,genuine
59,1,S001G000,2026-03-22T00:00:02.900000,537.45,1302.04,0.2455,3.172,,16.8,128.6,move,1,genuine
60,1,S001G000,2026-03-22T00:00:02.950000,674.85,534.85,0.1079,2.865,,216.0,21.9,move,4,genuine
61,1,S001G000,2026-03-22T00:00:03,510.56,754.14,0.0996,3.406,,296.4,96.0,move,2,genuine
62,1,S001G000,2026-03-22T00:00:03.050000,468.08,681.63,0.1828,2.988,,-129.0,-341.6,move,5,genuine
63,1,S001G000,2026-03-22T00:00:03.100000,467.1,1179.49,0.2029,2.918,,13.0,-91.9,move,3,genuine
64,1,S001G000,2026-03-22T00:00:03.150000,597.98,479.11,0.1896,3.149,,100.0,38.6,move,4,genuine
65,1,S001G000,2026-03-22T00:00:03.200000,523.29,701.01,0.2249,3.327,,-13.9,73.9,move,1,genuine
66,1,S001G000,2026-03-22T00:00:03.250000,466.14,606.71,0.1585,3.54,,55.3,-151.6,move,3,genuine
67,1,S001G000,2026-03-22T00:00:03.300000,333.53,1111.41,0.1267,3.221,,-274.0,11.1,move,1,genuine
68,1,S001G000,2026-03-22T00:00:03.350000,530.97,979.1,0.142,2.98,,49.4,-207.4,move,1,genuine
69,1,S001G000,2026-03-22T00:00:03.400000,346.49,767.17,0.1357,4.095,,426.9,-21.6,move,5,genuine
70,1,S001G000,2026-03-22T00:00:03.450000,723.96,839.92,0.1339,3.144,,25.5,308.9,move,3,genuine
71,1,S001G000,2026-03-22T00:00:03.500000,612.43,974.1,0.0996,3.563,97.98,-32.7,123.8,click,1,genuine
72,1,S001G000,2026-03-22T00:00:03.550000,448.91,482.51,0.18,2.479,,-20.2,-6.9,move,0,genuine
73,1,S001G000,2026-03-22T00:00:03.600000,537.17,451.55,0.1326,3.152,,198.7,-13.7,move,4,genuine
74,1,S001G000,2026-03-22T00:00:03.650000,533.16,660.28,0.1655,3.954,,235.8,-237.4,move,2,genuine
75,1,S001G000,2026-03-22T00:00:03.700000,772.81,1106.45,0.083,4.228,,15.8,195.4,move,3,genuine
76,1,S001G000,2026-03-22T00:00:03.750000,561.93,1353.53,0.1562,3.155,,-91.5,-132.4,move,5,genuine
77,1,S001G000,2026-03-22T00:00:03.800000,690.6,679.94,0.1482,3.404,,181.8,108.8,move,1,genuine
78,1,S001G000,2026-03-22T00:00:03.850000,349.3,952.72,0.1381,2.685,,-159.9,-97.0,move,3,genuine
79,1,S001G000,2026-03-22T00:00:03.900000,331.95,1193.71,0.2232,3.512,,346.8,-82.2,move,5,genuine
80,1,S001G000,2026-03-22T00:00:03.950000,499.35,724.28,0.2016,3.358,133.34,-305.4,242.9,click,3,genuine
81,1,S001G000,2026-03-22T00:00:04,231.61,447.51,0.2082,3.835,,-231.1,60.7,move,2,genuine
82,1,S001G000,2026-03-22T00:00:04.050000,726.9,704.66,0.1442,3.427,,326.3,-1.1,scroll,5,genuine
83,1,S001G000,2026-03-22T00:00:04.100000,609.4,924.76,0.117,3.126,107.85,-287.3,30.2,click,3,genuine
84,1,S001G000,2026-03-22T00:00:04.150000,566.76,964.69,0.1425,4.638,116.44,-423.7,161.8,click,3,genuine
85,1,S001G000,2026-03-22T00:00:04.200000,455.6,603.26,0.1373,4.599,,124.4,145.3,move,2,genuine
86,1,S001G000,2026-03-22T00:00:04.250000,682.78,771.88,0.2023,4.258,112.02,150.8,19.1,click,4,genuine
87,1,S001G000,2026-03-22T00:00:04.300000,651.76,845.01,0.1623,4.425,,70.5,78.5,move,5,genuine
88,1,S001G000,2026-03-22T00:00:04.350000,367.74,743.23,0.1923,3.838,,129.4,170.9,move,1,genuine
89,1,S001G000,2026-03-22T00:00:04.400000,459.34,955.37,0.1298,3.479,102.85,-359.4,-159.4,click,0,genuine
90,1,S001G000,2026-03-22T00:00:04.450000,575.55,662.17,0.1571,2.623,118.19,112.3,133.7,click,2,genuine
91,1,S001G000,2026-03-22T00:00:04.500000,551.95,918.29,0.0663,2.585,,-541.9,26.6,move,3,genuine
92,1,S001G000,2026-03-22T00:00:04.550000,339.38,843.27,0.118,2.964,84.66,295.7,20.8,click,2,genuine
93,1,S001G000,2026-03-22T00:00:04.600000,429.82,844.73,0.1167,3.753,,78.3,-164.2,move,3,genuine
94,1,S001G000,2026-03-22T00:00:04.650000,689.71,775.44,0.1674,3.144,,351.4,-35.2,move,2,genuine
95,1,S001G000,2026-03-22T00:00:04.700000,704.75,855.22,0.1484,3.621,,-124.4,-112.0,move,5,genuine
96,1,S001G000,2026-03-22T00:00:04.750000,552.69,1007.26,0.215,2.5,106.75,-1.0,-198.7,click,2,genuine
97,1,S001G000,2026-03-22T00:00:04.800000,423.69,932.6,0.2079,3.527,,14.5,5.4,move,2,genuine
98,1,S001G000,2026-03-22T00:00:04.850000,475.72,413.22,0.1626,3.616,136.44,-28.5,185.1,click,1,genuine
99,1,S001G000,2026-03-22T00:00:04.900000,558.72,791.98,0.0992,3.199,131.97,-281.0,-115.3,click,5,genuine
100,1,S001G000,2026-03-22T00:00:04.950000,656.64,1012.83,0.207,3.121,,64.1,-54.8,move,3,genuine
101,1,S001G000,2026-03-22T00:00:05,709.03,862.63,0.208,4.13,,-3.4,-295.7,move,1,genuine
102,1,S001G000,2026-03-22T00:00:05.050000,660.54,722.76,0.1478,3.37,120.82,47.9,-128.0,click,2,genuine
103,1,S001G000,2026-03-22T00:00:05.100000,560.92,957.77,0.1701,2.736,,-76.3,-85.3,move,5,genuine
104,1,S001G000,2026-03-22T00:00:05.150000,474.3,744.21,0.1348,3.906,,92.8,96.6,move,5,genuine
105,1,S001G000,2026-03-22T00:00:05.200000,488.07,795.89,0.1539,3.743,,285.8,24.7,move,0,genuine
106,1,S001G000,2026-03-22T00:00:05.250000,402.26,1061.98,0.1532,4.039,,258.1,133.3,move,2,genuine
107,1,S001G000,2026-03-22T00:00:05.300000,435.77,912.24,0.1746,3.39,,-163.9,-29.4,scroll,3,genuine
108,1,S001G000,2026-03-22T00:00:05.350000,519.88,773.37,0.2228,3.776,,-275.1,140.4,move,0,genuine
109,1,S001G000,2026-03-22T00:00:05.400000,468.7,904.29,0.1201,4.437,,473.2,144.1,move,2,genuine
110,1,S001G000,2026-03-22T00:00:05.450000,598.27,406.05,0.1699,3.552,82.09,82.5,-92.9,click,4,genuine
111,1,S001G000,2026-03-22T00:00:05.500000,220.64,1021.43,0.168,3.351,,-120.3,-40.5,move,4,genuine
112,1,S001G000,2026-03-22T00:00:05.550000,519.11,948.63,0.1289,3.624,,-172.0,381.0,move,4,genuine
113,1,S001G000,2026-03-22T00:00:05.600000,481.27,739.77,0.1412,3.936,127.84,-15.9,-14.8,click,2,genuine
114,1,S001G000,2026-03-22T00:00:05.650000,591.02,396.38,0.137,4.297,,-338.2,66.1,move,3,genuine
115,1,S001G000,2026-03-22T00:00:05.700000,468.48,836.92,0.2343,3.161,,-34.6,-65.2,move,3,genuine
116,1,S001G000,2026-03-22T00:00:05.750000,498.6,952.38,0.154,3.043,,231.1,153.5,move,3,genuine
117,1,S001G000,2026-03-22T00:00:05.800000,461.75,1103.95,0.0987,3.729,,304.1,64.1,move,1,genuine
118,1,S001G000,2026-03-22T00:00:05.850000,285.56,1300.32,0.1453,2.861,,-426.7,-232.5,move,2,genuine
119,1,S001G000,2026-03-22T00:00:05.900000,504.7,814.61,0.1969,4.172,,53.5,60.2,move,2,genuine
120,1,S001G000,2026-03-22T00:00:05.950000,621.08,1133.96,0.2047,3.404,,-188.6,-59.3,move,5,genuine
121,1,S001G001,2026-01-20T00:00:00,470.05,831.9,0.1718,3.349,,250.9,193.5,move,5,genuine
122,1,S001G001,2026-01-20T00:00:00.050000,682.03,827.46,0.1571,4.06,,-7.1,357.9,move,0,genuine
123,1,S001G001,2026-01-20T00:00:00.100000,570.2,700.11,0.1735,4.016,105.4,314.1,-315.7,click,4,genuine
124,1,S001G001,2026-01-20T00:00:00.150000,396.61,1031.12,0.1575,3.276,,-587.2,-173.4,move,4,genuine
125,1,S001G001,2026-01-20T00:00:00.200000,628.18,1132.72,0.159,2.874,108.01,76.0,-34.1,click,0,genuine
126,1,S001G001,2026-01-20T00:00:00.250000,518.96,716.12,0.1692,3.808,,396.0,-87.2,move,4,genuine
127,1,S001G001,2026-01-20T00:00:00.300000,433.15,891.22,0.155,3.634,,450.3,171.5,scroll,2,genuine
128,1,S001G001,2026-01-20T00:00:00.350000,742.01,724.75,0.2298,2.788,,-333.4,133.6,move,5,genuine
129,1,S001G001,2026-01-20T00:00:00.400000,463.66,920.06,0.1628,3.48,,398.4,-44.8,move,3,genuine
130,1,S001G001,2026-01-20T00:00:00.450000,467.69,796.15,0.2115,3.323,,-292.0,23.1,move,2,genuine
131,1,S001G001,2026-01-20T00:00:00.500000,356.94,896.88,0.1978,2.543,135.5,-11.4,91.7,click,1,genuine
132,1,S001G001,2026-01-20T00:00:00.550000,673.63,809.28,0.1544,4.242,,-198.0,31.2,move,5,genuine
133,1,S001G001,2026-01-20T00:00:00.600000,435.76,960.89,0.1734,3.511,,-59.9,37.6,move,2,genuine
134,1,S001G001,2026-01-20T00:00:00.650000,491.97,1254.48,0.1682,3.954,,-593.9,-148.6,scroll,0,genuine
135,1,S001G001,2026-01-20T00:00:00.700000,432.27,779.43,0.139,3.529,,-118.5,298.5,move,3,genuine
136,1,S001G001,2026-01-20T00:00:00.750000,582.24,999.07,0.1519,3.929,,-365.1,104.2,move,3,genuine
137,1,S001G001,2026-01-20T00:00:00.800000,587.56,728.21,0.1249,3.534,,261.4,40.4,move,5,genuine
138,1,S001G001,2026-01-20T00:00:00.850000,680.33,1061.57,0.1455,3.902,94.64,-60.5,-25.6,click,3,genuine
139,1,S001G001,2026-01-20T00:00:00.900000,438.78,1187.83,0.1659,4.635,,391.1,-155.3,scroll,3,genuine
140,1,S001G001,2026-01-20T00:00:00.950000,682.93,612.11,0.2104,3.704,,290.8,366.0,move,2,genuine
141,1,S001G001,2026-01-20T00:00:01,369.63,609.4,0.1741,2.658,128.51,-403.9,-161.4,click,0,genuine
142,1,S001G001,2026-01-20T00:00:01.050000,700.96,755.03,0.1554,3.145,,-212.2,155.3,move,0,genuine
143,1,S001G001,2026-01-20T00:00:01.100000,673.75,955.36,0.1398,3.986,,64.0,409.1,scroll,1,genuine
144,1,S001G001,2026-01-20T00:00:01.150000,303.35,405.59,0.1865,2.955,,71.7,-53.8,move,0,genuine
145,1,S001G001,2026-01-20T00:00:01.200000,637.45,826.87,0.1997,3.649,,-49.6,209.6,move,3,genuine
146,1,S001G001,2026-01-20T00:00:01.250000,376.71,662.83,0.1348,3.754,,-225.7,277.1,move,0,genuine
147,1,S001G001,2026-01-20T00:00:01.300000,613.16,989.76,0.219,3.602,,-94.8,116.3,move,4,genuine
148,1,S001G001,2026-01-20T00:00:01.350000,582.0,531.12,0.1691,3.758,,-246.4,-117.0,move,3,genuine
149,1,S001G001,2026-01-20T00:00:01.400000,331.03,1230.89,0.1403,3.264,,273.7,-138.9,move,5,genuine
150,1,S001G001,2026-01-20T00:00:01.450000,514.74,974.39,0.1794,4.265,,-33.2,7.5,scroll,3,genuine
151,1,S001G001,2026-01-20T00:00:01.500000,529.55,676.85,0.16,4.033,,-286.9,30.3,move,4,genuine
152,1,S001G001,2026-01-20T00:00:01.550000,537.11,392.31,0.1699,4.087,,-283.8,-39.9,move,3,genuine
153,1,S001G001,2026-01-20T00:00:01.600000,575.88,817.11,0.0671,3.494,114.28,-70.7,44.1,click,5,genuine
154,1,S001G001,2026-01-20T00:00:01.650000,667.09,833.03,0.1341,3.76,,110.7,-76.5,scroll,4,genuine
155,1,S001G001,2026-01-20T00:00:01.700000,660.31,687.64,0.1544,4.115,,154.5,86.5,move,5,genuine
156,1,S001G001,2026-01-20T00:00:01.750000,742.57,447.3,0.1964,3.914,,-114.6,-165.4,move,2,genuine
157,1,S001G001,2026-01-20T00:00:01.800000,546.82,653.8,0.183,4.091,103.26,11.6,-75.6,click,0,genuine
158,1,S001G001,2026-01-20T00:00:01.850000,741.0,773.26,0.2047,3.585,103.19,225.2,-56.5,click,5,genuine
159,1,S001G001,2026-01-20T00:00:01.900000,496.77,1051.64,0.1535,4.193,,-483.2,-212.3,move,2,genuine
160,1,S001G001,2026-01-20T00:00:01.950000,518.8,880.08,0.1937,3.298,,371.2,484.6,move,2,genuine
161,1,S001G001,2026-01-20T00:00:02,507.25,860.9,0.1364,3.604,,362.4,233.6,move,3,genuine
162,1,S001G001,2026-01-20T00:00:02.050000,652.92,940.06,0.1939,3.289,,216.3,-289.1,move,2,genuine
163,1,S001G001,2026-01-20T00:00:02.100000,749.75,763.03,0.1342,3.51,,17.1,31.5,move,2,genuine
164,1,S001G001,2026-01-20T00:00:02.150000,376.88,904.72,0.1638,4.237,113.93,-192.0,-116.3,click,4,genuine
165,1,S001G001,2026-01-20T00:00:02.200000,520.58,618.98,0.1777,3.272,,54.8,-40.2,scroll,4,genuine
166,1,S001G001,2026-01-20T00:00:02.250000,662.35,934.28,0.187,3.82,109.52,67.7,-122.5,click,2,genuine
167,1,S001G001,2026-01-20T00:00:02.300000,415.4,904.97,0.1985,3.598,,183.0,-20.6,move,0,genuine
168,1,S001G001,2026-01-20T00:00:02.350000,453.94,536.73,0.1721,2.968,,69.8,203.0,move,0,genuine
169,1,S001G001,2026-01-20T00:00:02.400000,663.56,962.84,0.1897,3.815,108.09,10.6,-57.4,click,5,genuine
170,1,S001G001,2026-01-20T00:00:02.450000,768.23,1126.2,0.1774,4.371,,4.9,201.5,scroll,1,genuine
171,1,S001G001,2026-01-20T00:00:02.500000,378.71,1119.58,0.1239,3.408,,153.5,7.7,move,4,genuine
172,1,S001G001,2026-01-20T00:00:02.550000,416.25,831.43,0.1577,4.548,,56.1,66.8,move,4,genuine
173,1,S001G001,2026-01-20T00:00:02.600000,446.84,1278.81,0.1241,3.52,,-287.2,48.5,move,4,genuine
174,1,S001G001,2026-01-20T00:00:02.650000,612.65,1104.39,0.0891,3.11,,198.5,126.8,move,2,genuine
175,1,S001G001,2026-01-20T00:00:02.700000,556.01,1110.8,0.1531,4.072,,198.3,-171.2,move,2,genuine
176,1,S001G001,2026-01-20T00:00:02.750000,507.11,1181.65,0.1516,2.761,,67.8,-21.2,move,4,genuine
177,1,S001G001,2026-01-20T00:00:02.800000,646.4,1172.75,0.2335,3.731,,-310.8,13.8,move,3,genuine
178,1,S001G001,2026-01-20T00:00:02.850000,337.54,942.09,0.1729,3.618,,-210.7,-78.7,move,2,genuine
179,1,S001G001,2026-01-20T00:00:02.900000,589.75,782.91,0.1112,3.697,106.11,210.4,213.2,click,5,genuine
180,1,S001G001,2026-01-20T00:00:02.950000,637.58,852.07,0.1849,3.195,,-188.9,-38.8,move,2,genuine
181,1,S001G001,2026-01-20T00:00:03,424.8,1282.46,0.2072,3.264,,176.6,-105.5,move,3,genuine
182,1,S001G001,2026-01-20T00:00:03.050000,516.77,732.62,0.1522,3.466,,-0.8,-285.6,move,3,genuine
183,1,S001G001,2026-01-20T00:00:03.100000,591.16,657.85,0.2798,4.557,,147.0,-171.2,move,4,genuine
184,1,S001G001,2026-01-20T00:00:03.150000,485.98,709.98,0.1238,4.008,112.97,-48.6,153.3,click,3,genuine
185,1,S001G001,2026-01-20T00:00:03.200000,544.71,977.16,0.139,2.598,,-227.1,68.6,move,4,genuine
186,1,S001G001,2026-01-20T00:00:03.250000,464.85,1072.33,0.1865,3.366,131.12,18.6,65.7,click,3,genuine
187,1,S001G001,2026-01-20T00:00:03.300000,264.97,1199.74,0.2143,4.194,96.55,52.0,-79.1,click,0,genuine
188,1,S001G001,2026-01-20T00:00:03.350000,804.43,1211.22,0.2072,3.997,,50.3,-85.8,move,4,genuine
189,1,S001G001,2026-01-20T00:00:03.400000,620.01,1200.79,0.2543,2.852,138.52,-43.8,-132.3,click,3,genuine
190,1,S001G001,2026-01-20T00:00:03.450000,699.45,1100.66,0.1847,3.754,,150.2,-10.1,move,5,genuine
191,1,S001G001,2026-01-20T00:00:03.500000,572.93,771.53,0.1814,3.353,133.88,-57.1,-30.7,click,0,genuine
192,1,S001G001,2026-01-20T00:00:03.550000,658.45,1115.44,0.1705,3.586,,-46.0,-84.0,move,0,genuine
193,1,S001G001,2026-01-20T00:00:03.600000,570.34,844.79,0.2094,3.372,,-314.6,-50.5,move,4,genuine
194,1,S001G001,2026-01-20T00:00:03.650000,518.69,1019.0,0.1134,4.072,,404.1,84.9,scroll,3,genuine
195,1,S001G001,2026-01-20T00:00:03.700000,345.72,931.69,0.1469,3.17,,38.6,76.7,move,2,genuine
196,1,S001G001,2026-01-20T00:00:03.750000,374.28,735.63,0.1475,3.356,,-214.1,115.8,move,3,genuine
197,1,S001G001,2026-01-20T00:00:03.800000,341.68,785.03,0.2573,4.073,,-172.8,161.8,move,1,genuine
198,1,S001G001,2026-01-20T00:00:03.850000,442.26,985.88,0.1123,3.046,,-50.9,-95.9,move,3,genuine
199,1,S001G001,2026-01-20T00:00:03.900000,511.03,1101.31,0.2059,3.149,,236.9,73.4,move,1,genuine
200,1,S001G001,2026-01-20T00:00:03.950000,509.84,957.34,0.1928,3.112,107.79,-131.7,336.3,click,2,genuine
201,1,S001G001,2026-01-20T00:00:04,637.35,580.78,0.1707,2.796,,-58.1,-55.8,move,1,genuine
202,1,S001G001,2026-01-20T00:00:04.050000,416.23,490.36,0.1481,3.849,119.75,10.2,-267.0,click,5,genuine
203,1,S001G001,2026-01-20T00:00:04.100000,502.63,956.86,0.18,3.839,,-146.3,193.3,move,4,genuine
204,1,S001G001,2026-01-20T00:00:04.150000,373.11,559.6,0.2327,3.119,,62.7,-0.8,scroll,1,genuine
205,1,S001G001,2026-01-20T00:00:04.200000,205.8,801.9,0.1423,3.362,101.23,115.8,181.3,click,4,genuine
206,1,S001G001,2026-01-20T00:00:04.250000,310.05,875.79,0.142,3.549,122.02,66.1,-56.5,click,2,genuine
207,1,S001G001,2026-01-20T00:00:04.300000,397.36,731.93,0.1441,3.161,,335.3,15.3,move,4,genuine
208,1,S001G001,2026-01-20T00:00:04.350000,541.14,625.54,0.1712,4.264,,163.0,285.8,move,5,genuine
209,1,S001G001,2026-01-20T00:00:04.400000,636.11,684.61,0.1459,3.413,,531.4,-311.3,move,3,genuine
210,1,S001G001,2026-01-20T00:00:04.450000,555.09,945.49,0.1095,3.146,99.78,10.3,64.9,click,2,genuine
211,1,S001G001,2026-01-20T00:00:04.500000,439.97,757.11,0.1618,2.53,,-30.7,-220.7,move,4,genuine
212,1,S001G001,2026-01-20T00:00:04.550000,496.31,655.51,0.1502,3.314,,-193.4,-62.8,move,2,genuine
213,1,S001G001,2026-01-20T00:00:04.600000,353.68,752.51,0.1533,2.572,,180.3,135.0,scroll,1,genuine
214,1,S001G001,2026-01-20T00:00:04.650000,475.63,730.3,0.2258,3.961,126.74,-149.8,141.5,click,0,genuine
215,1,S001G001,2026-01-20T00:00:04.700000,567.43,808.94,0.1048,3.687,,8.8,-9.1,move,3,genuine
216,1,S001G001,2026-01-20T00:00:04.750000,579.48,1122.46,0.1991,3.272,,-75.6,118.5,scroll,5,genuine
217,1,S001G001,2026-01-20T00:00:04.800000,498.86,434.46,0.1269,3.023,101.41,-240.4,24.4,click,5,genuine
218,1,S001G001,2026-01-20T00:00:04.850000,518.68,757.83,0.1202,3.087,,-100.9,-34.1,move,1,genuine
219,1,S001G001,2026-01-20T00:00:04.900000,455.34,662.78,0.1446,3.476,,-102.4,133.5,move,0,genuine
220,1,S001G001,2026-01-20T00:00:04.950000,669.08,768.32,0.0731,4.22,121.02,247.9,31.8,click,4,genuine
221,1,S001G001,2026-01-20T00:00:05,743.76,1006.36,0.1153,3.235,,194.7,-159.4,move,5,genuine
222,1,S001G001,2026-01-20T00:00:05.050000,756.37,987.89,0.1716,2.769,97.72,53.3,-149.6,click,5,genuine
223,1,S001G001,2026-01-20T00:00:05.100000,291.91,622.97,0.1014,4.118,118.01,-197.4,-156.8,click,2,genuine
224,1,S001G001,2026-01-20T00:00:05.150000,292.32,447.64,0.1853,3.371,,-395.4,180.5,move,1,genuine
225,1,S001G001,2026-01-20T00:00:05.200000,305.26,715.89,0.1492,3.801,,-28.3,-153.6,move,5,genuine
226,1,S001G001,2026-01-20T00:00:05.250000,392.36,1139.58,0.1406,3.907,,-74.7,182.6,move,4,genuine
227,1,S001G001,2026-01-20T00:00:05.300000,386.47,866.43,0.1831,3.349,,-69.9,10.7,move,5,genuine
